game_id,season_id,team_id_home,game_date,matchup_home,wl_home,pts_home,team_id_away,wl_away,pts_away,game_status_text,season,attendance,series_leader
21500138,22015,1610612746,11/14/2015,LAC vs. DET,W,101,1610612765,L,96,Final,2015,19060.0,LA Clippers
21500140,22015,1610612745,11/14/2015,HOU vs. DAL,L,98,1610612742,W,110,Final,2015,18231.0,Tied
21500141,22015,1610612749,11/14/2015,MIL vs. CLE,W,108,1610612739,L,105,Final,2015,18717.0,Cleveland
21500139,22015,1610612764,11/14/2015,WAS vs. ORL,W,108,1610612753,L,99,Final,2015,18311.0,Washington
21500151,22015,1610612747,11/15/2015,LAL vs. DET,W,97,1610612765,L,85,Final,2015,18997.0,Tied
21500145,22015,1610612752,11/15/2015,NYK vs. NOP,W,95,1610612740,L,87,Final,2015,19812.0,Tied
21500148,22015,1610612737,11/15/2015,ATL vs. UTA,L,96,1610612762,W,97,Final,2015,14436.0,Tied
21500150,22015,1610612758,11/15/2015,SAC vs. TOR,W,107,1610612761,L,101,Final,2015,17006.0,Sacramento
21500146,22015,1610612750,11/15/2015,MIN vs. MEM,L,106,1610612763,W,114,Final,2015,12086.0,Tied
21500147,22015,1610612766,11/15/2015,CHA vs. POR,W,106,1610612757,L,94,Final,2015,15317.0,Tied
21500149,22015,1610612760,11/15/2015,OKC vs. BOS,L,85,1610612738,W,100,Final,2015,18203.0,Tied
21500152,22015,1610612755,11/16/2015,PHI vs. DAL,L,86,1610612742,W,92,Final,2015,11555.0,Dallas
21500156,22015,1610612759,11/16/2015,SAS vs. POR,W,93,1610612757,L,80,Final,2015,18418.0,San Antonio
21500153,22015,1610612741,11/16/2015,CHI vs. IND,W,96,1610612754,L,95,Final,2015,21660.0,Chicago
21500157,22015,1610612756,11/16/2015,PHX vs. LAL,W,120,1610612747,L,101,Final,2015,18055.0,Phoenix
21500154,22015,1610612745,11/16/2015,HOU vs. BOS,L,95,1610612738,W,111,Final,2015,17005.0,Tied
21500155,22015,1610612763,11/16/2015,MEM vs. OKC,W,122,1610612760,L,114,Final,2015,17270.0,Oklahoma City
21500164,22015,1610612744,11/17/2015,GSW vs. TOR,W,115,1610612761,L,110,Final,2015,19596.0,Golden State
